Código;Matrícula;Fecha Matriculación;Marca;Modelo;Tipo;Variante;Clasificación medioambiental;Combustible;Cilindrada;Potencia;Número de Plazas;Fecha inicio de prestación del servicio de taxi;Eurotaxi;Régimen Especial;Fecha extracción dato
1467920;6523JXL;15/03/2017;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;16/03/2017;NO;No;;;18/06/2024
1426551;4208JNT;06/05/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;10/05/2016;NO;No;;;18/06/2024
1439344;6134JTG;17/10/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;21/10/2016;NO;No;;;18/06/2024
1440566;9144JTN;03/10/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;03/11/2016;NO;No;;;18/06/2024
1434128;8921JRW;28/07/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;01/08/2016;NO;No;;;18/06/2024
1468011;7689JXL;15/03/2017;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;16/03/2017;NO;No;;;18/06/2024
1435201;5279JSG;22/08/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;23/08/2016;NO;No;;;18/06/2024
1423603;9623JNB;11/04/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;12/04/2016;NO;No;;;18/06/2024
1440583;3680JTN;28/10/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;03/11/2016;NO;No;;;18/06/2024
1435806;7363JSL;01/09/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;02/09/2016;NO;No;;;18/06/2024
1437120;6769JSS;20/09/2016;CITROEN;C-ELYSEE;D;DDBHY;C;M: Diesel;1560;73;5;22/09/2016;NO;No;;;18/06/2024
1640240;3088JCM;09/02/2015;CITROEN;NC4 PICASSO;3 ;3DAHR* ;C;M: Diesel;0;13.3;;14/06/2021;NO;No;;;18/06/2024
1469781;2085JYD;05/04/2017;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;07/04/2017;NO;No;;;18/06/2024
1445672;1110JVX;29/12/2016;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;10/01/2017;NO;No;;;18/06/2024
1518910;7463KNN;08/08/2018;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;16/08/2018;NO;No;;;18/06/2024
1736720;7385KKW;14/05/2018;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;08/04/2024;NO;NO;;;18/06/2024
1469029;0281JXT;27/03/2017;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;30/03/2017;NO;No;;;18/06/2024
1514082;4097KLR;06/06/2018;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;18/06/2018;NO;No;;;18/06/2024
1518983;0269KNN;07/08/2018;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;16/08/2018;NO;No;;;18/06/2024
1470361;4941JYH;12/04/2017;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;19/04/2017;NO;No;;;18/06/2024
1473928;0161JZK;29/05/2017;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;31/05/2017;NO;No;;;18/06/2024
1483715;5205KDS;19/10/2017;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;02/11/2017;NO;No;;;18/06/2024
1443759;9780JVK;12/12/2016;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;13/12/2016;NO;No;;;18/06/2024
1476139;4307KBL;30/06/2017;CITROEN;C-ELYSEE;F;FECE;ECO;B: Gasolina/GLP;1587;85;5;03/07/2017;NO;No;;;18/06/2024
